station_id,region_id,short_name,capacity,lon,lat,external_id,geometry
90,3,SF-L27,27,-122.402717,37.771058,e4e5d6b1-a335-41a9-8efe-4c4d9294d6e2,POINT (-122.402717 37.771058)
91,3,SF-L28,23,-122.39843755960464,37.771762110313176,afa2db8d-61bb-461a-8019-d5cd2aa1ec25,POINT (-122.3984375596046 37.77176211031318)
92,3,SF-L29,25,-122.39302754402159,37.772300631747626,42952b44-cb91-43dd-bdbd-34e4f2a39046,POINT (-122.3930275440216 37.77230063174763)
93,3,SF-L30-1,27,-122.3911984,37.7704074,28844b82-850f-4e02-95c6-59d6076e8516,POINT (-122.3911984 37.7704074)
95,3,SF-M20,27,-122.4310597,37.7662185,0c9cb910-8442-4df6-a997-704d817583ab,POINT (-122.4310597 37.7662185)
96,3,SF-M21,19,-122.4266136,37.7662102,fa33d61b-8ba5-4c23-9603-8d9ebf167d5d,POINT (-122.4266136 37.7662102)
97,3,SF-M22-1,19,-122.4201102,37.7682646,b65fc6af-b92c-41c5-8c63-e26cdfa3cda1,POINT (-122.4201102 37.7682646)
98,3,SF-M22-2,23,-122.4218661,37.765052,a5c8beca-df86-4cac-8229-ac1d7b010401,POINT (-122.4218661 37.765052)
99,3,SF-M24,19,-122.4154425,37.7670373,314fd7e5-4335-4b89-ac9d-2c099bc33d9f,POINT (-122.4154425 37.7670373)
100,3,SF-M25,19,-122.410662,37.7671004,f3e171b4-04b0-418f-9d82-e62f4df245d8,POINT (-122.410662 37.7671004)
101,3,SF-M26,27,-122.40735858678818,37.767078504583665,fdbfa7f9-d3eb-4c9d-ab6c-0e3300da314e,POINT (-122.4073585867882 37.76707850458367)
102,3,SF-M27,27,-122.3995794,37.7668828,7a555b4b-c8fa-456d-a8bb-4cb7c8bbbffa,POINT (-122.3995794 37.7668828)
104,3,SF-M30,35,-122.39083349704742,37.76704457969368,482f48f4-7ed6-4e69-a778-a2aba0f39c80,POINT (-122.3908334970474 37.76704457969368)
